jojo,bar,13-08-2020,Paiement,9900,1515151515151515
rafi,ki,13-08-2020,Paiement,11760,1515151515151515
jojo,bar,13-08-2020,remboursement,-9900,1515151515151515
jojo,bar,13-08-2020,Paiement,0,1515151515151515
jojo,bar,13-08-2020,Paiement,0,1515151515151515
jojo,bar,13-08-2020,Paiement,0,1515151515151515
jojo,bar,13-08-2020,Paiement,0,1515151515151515
azerty,qwerty,13-08-2020,Paiement,6120,1515151515151515
azerty,qwerty,13-08-2020,Paiement,4320,1515151515151515
dssdq,dsfsf,13-08-2020,Paiement,5652,1515151515151515
dsqsqdsq,dqsdqsdqsdqsd,13-08-2020,Paiement,2520,1515151515151515
dsqsqdsq,dqsdqsdqsdqsd,13-08-2020,Paiement,3360,1515151515151515
koko,lartichaut,13-08-2020,Paiement,6300,1212121212121212
koko,lartichaut,13-08-2020,Paiement,6300,1212121212121212
koko,lartichaut,13-08-2020,remboursement,-6300,1515151515151515
pkpk,pkpk,13-08-2020,Paiement,3768,1515151515151515
pkpk,pkpk,13-08-2020,remboursement,-3768,1515151515151515
dsqqsd,sdqdqs,13-08-2020,Paiement,7912.8,1515151515151515
dsqqsd,sdqdqs,13-08-2020,remboursement,-7912.8,1515151515151515
