Baba,Bibu,06-08-2020,Paiement,2700,125
Baba,bibu,06-08-2020,Paiement,4898.4,12345
<<<<<<< HEAD
Gadenne,Phanuel,06-08-2020,Paiement,11880,151515
Leroy,Esteban,06-08-2020,Paiement,2940,616161
toto,roro,06-08-2020,Paiement,14400,1515
toto,roro,06-08-2020,Paiement,51840,1515
donald,dunk,06-08-2020,Paiement,3780,1515
donald,dunk,06-08-2020,remboursement,-420,1515
donald,dunk,06-08-2020,remboursement,-3360,1515
=======
Baba,bibu,06-08-2020,Paiement,2100,12456
fzea,afae,06-08-2020,Paiement,1080,123245
>>>>>>> 0d568ed480fa74f11add0d2e11acd657274518cf
