Baba,bibu,07-08-2020,Paiement,7536,12544
Baba,bibu,07-08-2020,Paiement,7536,12544
Baba,bibu,07-08-2020,Paiement,2520,12544
Baba,bibu,07-08-2020,Paiement,2520,12544
Baba,bibu,07-08-2020,Paiement,2520,12544
Baba,bibu,07-08-2020,Paiement,1130.4,12544
Baba,bibu,07-08-2020,Paiement,1130.4,12544
Baba,bibu,07-08-2020,Paiement,1130.4,12544
Baba,bibu,07-08-2020,Paiement,1130.4,12544
Baba,bibu,07-08-2020,Paiement,1130.4,12544
Baba,bibu,07-08-2020,Paiement,1130.4,1245
antoine,pesquet,07-08-2020,Paiement,7920,616161
antoine,pesquet,07-08-2020,Paiement,5940,6464
